BSSID; First time seen; Last time seen; channel; Speed; Privacy; Cipher; Authentication; Power; # beacons; # IV; LAN IP; ID-length; ESSID; Key;
BC:9F:E4:10:AB:C2; 2026-04-18 13:19:32; 2026-04-18 13:20:33;1;260; WPA2; CCMP; PSK;-86;3;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:11:28:20; 2026-04-18 13:19:34; 2026-04-18 13:38:48;11;260; WPA2; CCMP; PSK;-65;41;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:11:28:21; 2026-04-18 13:19:34; 2026-04-18 13:38:48;11;260; WPA2; CCMP; PSK;-63;40;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:11:28:22; 2026-04-18 13:19:34; 2026-04-18 13:38:48;11;260; WPA2; CCMP; PSK;-69;36;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:EC:80; 2026-04-18 13:19:34; 2026-04-18 13:38:02;11;260; WPA2; CCMP; PSK;-72;11;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:EC:81; 2026-04-18 13:19:35; 2026-04-18 13:38:02;11;260; WPA2; CCMP; PSK;-70;7;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:11:28:30; 2026-04-18 13:19:36; 2026-04-18 13:38:50;44;720; WPA2; CCMP; PSK;-68;74;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:11:28:31; 2026-04-18 13:19:36; 2026-04-18 13:38:50;44;720; WPA2; CCMP; PSK;-66;73;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:11:28:32; 2026-04-18 13:19:36; 2026-04-18 13:38:50;44;720; WPA2; CCMP; PSK;-66;74;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:AB:D0; 2026-04-18 13:19:37; 2026-04-18 13:38:51;52;720; WPA2; CCMP; PSK;-89;76;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:AB:D1; 2026-04-18 13:19:37; 2026-04-18 13:38:51;52;720; WPA2; CCMP; PSK;-90;79;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:AB:D2; 2026-04-18 13:19:37; 2026-04-18 13:38:51;52;720; WPA2; CCMP; PSK;-89;80;0;   0.  0.  0.  0;0; ; ;
41:36:5A:FC:F8:D5; 2026-04-18 13:19:43; 2026-04-18 13:38:43;132;-1; OPN; ;   ;-1;0;1072;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:EC:90; 2026-04-18 13:20:01; 2026-04-18 13:38:44;157;720; WPA2; CCMP; PSK;-90;282;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:AB:C1; 2026-04-18 13:20:03; 2026-04-18 13:21:50;1;260; WPA2; CCMP; PSK;-83;3;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:EC:92; 2026-04-18 13:20:16; 2026-04-18 13:38:44;157;720; WPA2; CCMP; PSK;-92;273;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:EC:91; 2026-04-18 13:20:17; 2026-04-18 13:38:44;157;720; WPA2; CCMP; PSK;-90;270;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:AB:C0; 2026-04-18 13:20:18; 2026-04-18 13:38:45;1;260; WPA2; CCMP; PSK;-79;3;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:EC:82; 2026-04-18 13:20:21; 2026-04-18 13:38:02;11;260; WPA2; CCMP; PSK;-70;10;0;   0.  0.  0.  0;0; ; ;
C4:14:3C:FB:B7:4E; 2026-04-18 13:20:55; 2026-04-18 13:20:56;60;-1; OPN; ;   ;-1;0;4;  10. 63. 61.139;0; ; ;
58:0A:20:68:3B:91; 2026-04-18 13:21:20; 2026-04-18 13:21:20;1;-1; ; ;   ;-1;0;0;   0.  0.  0.  0;0; ; ;
00:25:00:FF:94:73; 2026-04-18 13:21:22; 2026-04-18 13:38:50;44;-1; OPN; ;   ;-1;0;4;   0.  0.  0.  0;0; ; ;
58:0A:20:68:DD:0E; 2026-04-18 13:21:42; 2026-04-18 13:21:42;64;-1; ; ;   ;-1;0;0;   0.  0.  0.  0;0; ; ;
A6:F5:E9:7E:6C:ED; 2026-04-18 13:21:54; 2026-04-18 13:22:24;12;180; WPA2; CCMP; PSK;-66;8;0;   0.  0.  0.  0;18; виктория78; ;
C4:14:3C:FB:C6:E0; 2026-04-18 13:22:21; 2026-04-18 13:22:21;1;195; WPA2; CCMP; MGT;-72;1;0;   0.  0.  0.  0;2; MT; ;
6C:99:89:0D:C3:20; 2026-04-18 13:22:24; 2026-04-18 13:22:24;11;195; WPA2; CCMP; MGT;-65;2;0;   0.  0.  0.  0;2; MT; ;
6C:99:89:0D:C3:21; 2026-04-18 13:22:24; 2026-04-18 13:22:24;11;195; OPN; ;   ;-62;2;0;   0.  0.  0.  0;7; MT_FREE; ;
C4:14:3C:FB:B6:6F; 2026-04-18 13:22:24; 2026-04-18 13:22:56;36;195; WPA2; CCMP; MGT;-75;11;0;   0.  0.  0.  0;2; MT; ;
C4:14:3C:FB:B6:6E; 2026-04-18 13:22:25; 2026-04-18 13:22:56;36;195; OPN; ;   ;-74;9;29;  10.116.115.190;7; MT_FREE; ;
6C:99:89:0D:C3:2E; 2026-04-18 13:22:25; 2026-04-18 13:22:26;44;195; OPN; ;   ;-74;4;8;  10.116.123. 39;7; MT_FREE; ;
6C:99:89:0D:C3:2F; 2026-04-18 13:22:25; 2026-04-18 13:22:26;44;195; WPA2; CCMP; MGT;-75;5;0;   0.  0.  0.  0;2; MT; ;
42:CD:28:B9:0C:B4; 2026-04-18 13:22:25; 2026-04-18 13:22:26;44;433; WPA2; CCMP; PSK;-87;5;0;   0.  0.  0.  0;3; cCc; ;
D6:F4:C4:96:7D:1F; 2026-04-18 13:22:25; 2026-04-18 13:23:12;44;866; WPA2; CCMP; PSK;-90;16;0;   0.  0.  0.  0;1; R; ;
C4:14:3C:FB:C9:0E; 2026-04-18 13:22:27; 2026-04-18 13:22:59;60;195; OPN; ;   ;-88;5;0;   0.  0.  0.  0;7; MT_FREE; ;
C4:14:3C:FB:C6:EE; 2026-04-18 13:22:28; 2026-04-18 13:22:44;64;195; OPN; ;   ;-87;5;1;  10.116.115. 29;7; MT_FREE; ;
C4:14:3C:FB:C6:EF; 2026-04-18 13:22:28; 2026-04-18 13:22:43;64;195; WPA2; CCMP; MGT;-83;4;0;   0.  0.  0.  0;2; MT; ;
BC:9F:E4:10:B6:D1; 2026-04-18 13:22:34; 2026-04-18 13:37:57;153;720; WPA2; CCMP; PSK;-77;67;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:B6:D0; 2026-04-18 13:22:34; 2026-04-18 13:37:57;153;720; WPA2; CCMP; PSK;-75;92;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:B6:D2; 2026-04-18 13:22:34; 2026-04-18 13:37:57;153;720; WPA2; CCMP; PSK;-75;67;0;   0.  0.  0.  0;0; ; ;
2A:69:3C:D6:2E:15; 2026-04-18 13:22:37; 2026-04-18 13:22:55;6;130; WPA2; CCMP; PSK;-82;0;3;   0.  0.  0.  0;18; Galaxy S21 5G da27; ;
BC:9F:E4:10:E7:D0; 2026-04-18 13:22:40; 2026-04-18 13:38:03;40;720; WPA2; CCMP; PSK;-77;265;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:E7:D1; 2026-04-18 13:22:40; 2026-04-18 13:38:03;40;720; WPA2; CCMP; PSK;-78;266;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:E7:D2; 2026-04-18 13:22:40; 2026-04-18 13:38:03;40;720; WPA2; CCMP; PSK;-81;267;0;   0.  0.  0.  0;0; ; ;
6C:99:89:0D:FC:FE; 2026-04-18 13:22:41; 2026-04-18 13:22:41;44;-1; OPN; ;   ;-1;0;6;  10.116.112.132;0; ; ;
A6:C6:7B:9B:27:79; 2026-04-18 13:22:41; 2026-04-18 13:22:57;44;866; WPA3 WPA2; CCMP; SAE PSK;-63;10;0;   0.  0.  0.  0;12; ; ;
C4:14:3C:FB:C9:0F; 2026-04-18 13:22:43; 2026-04-18 13:22:59;60;195; WPA2; CCMP; MGT;-86;6;2;   0.  0.  0.  0;2; MT; ;
16:EF:9D:0B:62:33; 2026-04-18 13:22:52; 2026-04-18 13:24:24;1;360; WPA2; CCMP; PSK;-75;3;0;   0.  0.  0.  0;9; AndroidAP; ;
C4:14:3C:FB:B6:60; 2026-04-18 13:22:52; 2026-04-18 13:22:52;1;195; WPA2; CCMP; MGT;-68;0;0;   0.  0.  0.  0;2; MT; ;
C4:14:3C:FB:B6:61; 2026-04-18 13:22:52; 2026-04-18 13:22:52;1;195; OPN; ;   ;-68;1;0;   0.  0.  0.  0;7; MT_FREE; ;
E2:FE:9E:5E:E0:80; 2026-04-18 13:22:55; 2026-04-18 13:22:55;6;-1; ; ;   ;-1;0;0;   0.  0.  0.  0;0; ; ;
5E:EA:E7:BC:AF:71; 2026-04-18 13:22:56; 2026-04-18 13:22:56;44;866; WPA3 WPA2; CCMP; SAE PSK;-85;1;0;   0.  0.  0.  0;17; ; ;
6C:99:89:0D:FC:F0; 2026-04-18 13:23:07; 2026-04-18 13:23:07;1;195; WPA2; CCMP; MGT;-70;0;0;   0.  0.  0.  0;2; MT; ;
6C:99:89:0D:FC:F1; 2026-04-18 13:23:07; 2026-04-18 13:23:07;1;195; OPN; ;   ;-73;1;0;   0.  0.  0.  0;7; MT_FREE; ;
32:BF:CB:59:36:CA; 2026-04-18 13:23:10; 2026-04-18 13:23:10;11;180; WPA2; CCMP; PSK;-72;2;0;   0.  0.  0.  0;17; Redmi Note 10 Pro; ;
C4:14:3C:FB:C9:01; 2026-04-18 13:23:10; 2026-04-18 13:23:10;11;-1; ; ;   ;-1;0;0;   0.  0.  0.  0;0; ; ;
6C:99:89:0D:C4:9E; 2026-04-18 13:23:13; 2026-04-18 13:23:13;52;-1; ; ;   ;-1;0;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:E7:C2; 2026-04-18 13:23:25; 2026-04-18 13:37:46;11;260; WPA2; CCMP; PSK;-82;54;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:E7:C0; 2026-04-18 13:23:25; 2026-04-18 13:37:46;11;260; WPA2; CCMP; PSK;-82;60;0;   0.  0.  0.  0;0; ; ;
BC:9F:E4:10:E7:C1; 2026-04-18 13:23:25; 2026-04-18 13:37:46;11;260; WPA2; CCMP; PSK;-82;56;0;   0.  0.  0.  0;0; ; ;
